Code,Country,Type,Variable,Year,Value
AUS,Australia,Beef and veal,Production,2028,2809.795
AUS,Australia,Beef and veal,Production,2029,2851.527
AUS,Australia,Beef and veal,Production,2030,2893.672
AUS,Australia,Beef and veal,Imports,1990,4.175
AUS,Australia,Beef and veal,Imports,1991,5.747
AUS,Australia,Beef and veal,Imports,1992,5.093
AUS,Australia,Beef and veal,Imports,1993,7.025
AUS,Australia,Beef and veal,Imports,1994,8.569
AUS,Australia,Beef and veal,Imports,1995,8.775
AUS,Australia,Beef and veal,Imports,1996,7.242
AUS,Australia,Beef and veal,Imports,1997,6.587
AUS,Australia,Beef and veal,Imports,1998,5.696
AUS,Australia,Beef and veal,Imports,1999,4.304
AUS,Australia,Beef and veal,Imports,2000,4.573
AUS,Australia,Beef and veal,Imports,2001,4.352
AUS,Australia,Beef and veal,Imports,2002,4.364
AUS,Australia,Beef and veal,Imports,2003,6.513
AUS,Australia,Beef and veal,Imports,2004,9.434
AUS,Australia,Beef and veal,Imports,2005,12.002
AUS,Australia,Beef and veal,Imports,2006,9.876
AUS,Australia,Beef and veal,Imports,2007,7.891
AUS,Australia,Beef and veal,Imports,2008,8.496
AUS,Australia,Beef and veal,Imports,2009,8.92
AUS,Australia,Beef and veal,Imports,2010,10.449
AUS,Australia,Beef and veal,Imports,2011,14.166
AUS,Australia,Beef and veal,Imports,2012,13.296
AUS,Australia,Beef and veal,Imports,2013,10.728
AUS,Australia,Beef and veal,Imports,2014,12.5
AUS,Australia,Beef and veal,Imports,2015,13.83
AUS,Australia,Beef and veal,Imports,2016,14.632
AUS,Australia,Beef and veal,Imports,2017,13.955
AUS,Australia,Beef and veal,Imports,2018,13.146
AUS,Australia,Beef and veal,Imports,2019,8.223
AUS,Australia,Beef and veal,Imports,2020,8.694
AUS,Australia,Beef and veal,Imports,2021,8.537
AUS,Australia,Beef and veal,Imports,2022,8.38
AUS,Australia,Beef and veal,Imports,2023,8.223
AUS,Australia,Beef and veal,Imports,2024,8.223
AUS,Australia,Beef and veal,Imports,2025,8.223
AUS,Australia,Beef and veal,Imports,2026,8.223
AUS,Australia,Beef and veal,Imports,2027,8.223
AUS,Australia,Beef and veal,Imports,2028,8.223
AUS,Australia,Beef and veal,Imports,2029,8.223
AUS,Australia,Beef and veal,Imports,2030,8.223
AUS,Australia,Beef and veal,Exports,1990,898.484
AUS,Australia,Beef and veal,Exports,1991,1011.75
AUS,Australia,Beef and veal,Exports,1992,1061.512
AUS,Australia,Beef and veal,Exports,1993,1133.647
AUS,Australia,Beef and veal,Exports,1994,1180.536
AUS,Australia,Beef and veal,Exports,1995,1237.915
AUS,Australia,Beef and veal,Exports,1996,1223.021
AUS,Australia,Beef and veal,Exports,1997,1319.999
AUS,Australia,Beef and veal,Exports,1998,1410.86
AUS,Australia,Beef and veal,Exports,1999,1439.063
AUS,Australia,Beef and veal,Exports,2000,1466.997
AUS,Australia,Beef and veal,Exports,2001,1519.084
AUS,Australia,Beef and veal,Exports,2002,1544.851
AUS,Australia,Beef and veal,Exports,2003,1354.3
AUS,Australia,Beef and veal,Exports,2004,1454.556
AUS,Australia,Beef and veal,Exports,2005,1453.389
AUS,Australia,Beef and veal,Exports,2006,1518.088
AUS,Australia,Beef and veal,Exports,2007,1518.596
AUS,Australia,Beef and veal,Exports,2008,1560.151
AUS,Australia,Beef and veal,Exports,2009,1543.179
AUS,Australia,Beef and veal,Exports,2010,1497.065
AUS,Australia,Beef and veal,Exports,2011,1499.445
AUS,Australia,Beef and veal,Exports,2012,1481.5
AUS,Australia,Beef and veal,Exports,2013,1796.675
AUS,Australia,Beef and veal,Exports,2014,2101.742
AUS,Australia,Beef and veal,Exports,2015,2072.94
AUS,Australia,Beef and veal,Exports,2016,1627.011
AUS,Australia,Beef and veal,Exports,2017,1649.81
AUS,Australia,Beef and veal,Exports,2018,1559.5
AUS,Australia,Beef and veal,Exports,2019,1661.1
AUS,Australia,Beef and veal,Exports,2020,1201.4
AUS,Australia,Beef and veal,Exports,2021,1413.331
AUS,Australia,Beef and veal,Exports,2022,1485.221
AUS,Australia,Beef and veal,Exports,2023,1544.593
AUS,Australia,Beef and veal,Exports,2024,1614.236
AUS,Australia,Beef and veal,Exports,2025,1630.407
AUS,Australia,Beef and veal,Exports,2026,1660.829
AUS,Australia,Beef and veal,Exports,2027,1689.374
AUS,Australia,Beef and veal,Exports,2028,1721.137
AUS,Australia,Beef and veal,Exports,2029,1753.414
AUS,Australia,Beef and veal,Exports,2030,1786.232
AUS,Australia,Beef and veal,Producer price,1990,2163
AUS,Australia,Beef and veal,Producer price,1991,2081
AUS,Australia,Beef and veal,Producer price,1992,2058
AUS,Australia,Beef and veal,Producer price,1993,2361
AUS,Australia,Beef and veal,Producer price,1994,2217
AUS,Australia,Beef and veal,Producer price,1995,1838
AUS,Australia,Beef and veal,Producer price,1996,1741
AUS,Australia,Beef and veal,Producer price,1997,1936
AUS,Australia,Beef and veal,Producer price,1998,2052
AUS,Australia,Beef and veal,Producer price,1999,2319
AUS,Australia,Beef and veal,Producer price,2000,2799.3
AUS,Australia,Beef and veal,Producer price,2001,3245.73
AUS,Australia,Beef and veal,Producer price,2002,2799.84
AUS,Australia,Beef and veal,Producer price,2003,3048.56
AUS,Australia,Beef and veal,Producer price,2004,3406.56
AUS,Australia,Beef and veal,Producer price,2005,3505.39
AUS,Australia,Beef and veal,Producer price,2006,3364.78
AUS,Australia,Beef and veal,Producer price,2007,3195.23
AUS,Australia,Beef and veal,Producer price,2008,3202.52
AUS,Australia,Beef and veal,Producer price,2009,3113.96
AUS,Australia,Beef and veal,Producer price,2010,3358.15
AUS,Australia,Beef and veal,Producer price,2011,3373.29
AUS,Australia,Beef and veal,Producer price,2012,3178.75
AUS,Australia,Beef and veal,Producer price,2013,3041.66
AUS,Australia,Beef and veal,Producer price,2014,3822.71
AUS,Australia,Beef and veal,Producer price,2015,4922.4
AUS,Australia,Beef and veal,Producer price,2016,5288.71
AUS,Australia,Beef and veal,Producer price,2017,4805.01
AUS,Australia,Beef and veal,Producer price,2018,4755.36
AUS,Australia,Beef and veal,Producer price,2019,5383.925
AUS,Australia,Beef and veal,Producer price,2020,6163.451
AUS,Australia,Beef and veal,Producer price,2021,5757.794
AUS,Australia,Beef and veal,Producer price,2022,5395.62
AUS,Australia,Beef and veal,Producer price,2023,5167.063
AUS,Australia,Beef and veal,Producer price,2024,4942.62
AUS,Australia,Beef and veal,Producer price,2025,4782.177
AUS,Australia,Beef and veal,Producer price,2026,4805.309
AUS,Australia,Beef and veal,Producer price,2027,4825.679
AUS,Australia,Beef and veal,Producer price,2028,4846.544
AUS,Australia,Beef and veal,Producer price,2029,4863.663
AUS,Australia,Beef and veal,Producer price,2030,4878.786
AUS,Australia,Beef and veal,Human consumption per capita,1990,0
AUS,Australia,Beef and veal,Human consumption per capita,1991,33.636
AUS,Australia,Beef and veal,Human consumption per capita,1992,32.964
AUS,Australia,Beef and veal,Human consumption per capita,1993,30.751
AUS,Australia,Beef and veal,Human consumption per capita,1994,27.942
AUS,Australia,Beef and veal,Human consumption per capita,1995,28.418
AUS,Australia,Beef and veal,Human consumption per capita,1996,32.754
AUS,Australia,Beef and veal,Human consumption per capita,1997,32.347
AUS,Australia,Beef and veal,Human consumption per capita,1998,30.518
AUS,Australia,Beef and veal,Human consumption per capita,1999,31.307
AUS,Australia,Beef and veal,Human consumption per capita,2000,33.37
AUS,Australia,Beef and veal,Human consumption per capita,2001,27.61
AUS,Australia,Beef and veal,Human consumption per capita,2002,28.962
AUS,Australia,Beef and veal,Human consumption per capita,2003,30.667
AUS,Australia,Beef and veal,Human consumption per capita,2004,33.589
AUS,Australia,Beef and veal,Human consumption per capita,2005,28.932
AUS,Australia,Beef and veal,Human consumption per capita,2006,31.471
AUS,Australia,Beef and veal,Human consumption per capita,2007,26.244
AUS,Australia,Beef and veal,Human consumption per capita,2008,26.802
AUS,Australia,Beef and veal,Human consumption per capita,2009,27.187
AUS,Australia,Beef and veal,Human consumption per capita,2010,28.547
AUS,Australia,Beef and veal,Human consumption per capita,2011,26.485
AUS,Australia,Beef and veal,Human consumption per capita,2012,26.349
AUS,Australia,Beef and veal,Human consumption per capita,2013,28.386
AUS,Australia,Beef and veal,Human consumption per capita,2014,28.318
AUS,Australia,Beef and veal,Human consumption per capita,2015,26.156
AUS,Australia,Beef and veal,Human consumption per capita,2016,23.475
AUS,Australia,Beef and veal,Human consumption per capita,2017,22.992
AUS,Australia,Beef and veal,Human consumption per capita,2018,32.139
AUS,Australia,Beef and veal,Human consumption per capita,2019,30.28
AUS,Australia,Beef and veal,Human consumption per capita,2020,28.019
AUS,Australia,Beef and veal,Human consumption per capita,2021,28.247
AUS,Australia,Beef and veal,Human consumption per capita,2022,28.164
AUS,Australia,Beef and veal,Human consumption per capita,2023,28.094
AUS,Australia,Beef and veal,Human consumption per capita,2024,28.071
AUS,Australia,Beef and veal,Human consumption per capita,2025,27.812
AUS,Australia,Beef and veal,Human consumption per capita,2026,27.789
AUS,Australia,Beef and veal,Human consumption per capita,2027,27.77
AUS,Australia,Beef and veal,Human consumption per capita,2028,27.753
AUS,Australia,Beef and veal,Human consumption per capita,2029,27.735
AUS,Australia,Beef and veal,Human consumption per capita,2030,27.716
AUS,Australia,Beef and veal,Direct GHG emission,1990,43.723
AUS,Australia,Beef and veal,Direct GHG emission,1991,44.771
AUS,Australia,Beef and veal,Direct GHG emission,1992,45.183
AUS,Australia,Beef and veal,Direct GHG emission,1993,45.462
AUS,Australia,Beef and veal,Direct GHG emission,1994,48.727
AUS,Australia,Beef and veal,Direct GHG emission,1995,48.603
AUS,Australia,Beef and veal,Direct GHG emission,1996,49.788
AUS,Australia,Beef and veal,Direct GHG emission,1997,50.418
AUS,Australia,Beef and veal,Direct GHG emission,1998,50.395
AUS,Australia,Beef and veal,Direct GHG emission,1999,49.645
AUS,Australia,Beef and veal,Direct GHG emission,2000,51.666
AUS,Australia,Beef and veal,Direct GHG emission,2001,51.926
AUS,Australia,Beef and veal,Direct GHG emission,2002,52.337
AUS,Australia,Beef and veal,Direct GHG emission,2003,50.034
AUS,Australia,Beef and veal,Direct GHG emission,2004,51.686
AUS,Australia,Beef and veal,Direct GHG emission,2005,52.526
AUS,Australia,Beef and veal,Direct GHG emission,2006,53.895
AUS,Australia,Beef and veal,Direct GHG emission,2007,53.34
AUS,Australia,Beef and veal,Direct GHG emission,2008,52.202
AUS,Australia,Beef and veal,Direct GHG emission,2009,53.32
AUS,Australia,Beef and veal,Direct GHG emission,2010,51.184
AUS,Australia,Beef and veal,Direct GHG emission,2011,54.716
AUS,Australia,Beef and veal,Direct GHG emission,2012,54.31
AUS,Australia,Beef and veal,Direct GHG emission,2013,56.108
AUS,Australia,Beef and veal,Direct GHG emission,2014,55.811
AUS,Australia,Beef and veal,Direct GHG emission,2015,52.289
AUS,Australia,Beef and veal,Direct GHG emission,2016,47.586
AUS,Australia,Beef and veal,Direct GHG emission,2017,50.117
AUS,Australia,Beef and veal,Direct GHG emission,2018,50.512
AUS,Australia,Beef and veal,Direct GHG emission,2019,46.262
AUS,Australia,Beef and veal,Direct GHG emission,2020,43.787
AUS,Australia,Beef and veal,Direct GHG emission,2021,44.903
AUS,Australia,Beef and veal,Direct GHG emission,2022,45.439
AUS,Australia,Beef and veal,Direct GHG emission,2023,45.626
AUS,Australia,Beef and veal,Direct GHG emission,2024,45.698
AUS,Australia,Beef and veal,Direct GHG emission,2025,45.729
AUS,Australia,Beef and veal,Direct GHG emission,2026,46.084
AUS,Australia,Beef and veal,Direct GHG emission,2027,46.485
AUS,Australia,Beef and veal,Direct GHG emission,2028,46.937
AUS,Australia,Beef and veal,Direct GHG emission,2029,47.391
AUS,Australia,Beef and veal,Direct GHG emission,2030,47.853
CAN,Canada,Beef and veal,Production,1990,1128.617
CAN,Canada,Beef and veal,Production,1991,1094.439
CAN,Canada,Beef and veal,Production,1992,1243.619
CAN,Canada,Beef and veal,Production,1993,1187.877
CAN,Canada,Beef and veal,Production,1994,1171.272
CAN,Canada,Beef and veal,Production,1995,1249.654
CAN,Canada,Beef and veal,Production,1996,1447.6
CAN,Canada,Beef and veal,Production,1997,1490.888
CAN,Canada,Beef and veal,Production,1998,1571.408
CAN,Canada,Beef and veal,Production,1999,1506.191
CAN,Canada,Beef and veal,Production,2000,1477.717
CAN,Canada,Beef and veal,Production,2001,1592.265
CAN,Canada,Beef and veal,Production,2002,1769.563
CAN,Canada,Beef and veal,Production,2003,1351.845
CAN,Canada,Beef and veal,Production,2004,1496.094
CAN,Canada,Beef and veal,Production,2005,1631.599
CAN,Canada,Beef and veal,Production,2006,1640.847
CAN,Canada,Beef and veal,Production,2007,1677.99
CAN,Canada,Beef and veal,Production,2008,1754.376
CAN,Canada,Beef and veal,Production,2009,1555.906
CAN,Canada,Beef and veal,Production,2010,1614.958
CAN,Canada,Beef and veal,Production,2011,1355.387
CAN,Canada,Beef and veal,Production,2012,1313.612
CAN,Canada,Beef and veal,Production,2013,1356.09
CAN,Canada,Beef and veal,Production,2014,1436.113
CAN,Canada,Beef and veal,Production,2015,1276.729
CAN,Canada,Beef and veal,Production,2016,1389.442
CAN,Canada,Beef and veal,Production,2017,1385.82
CAN,Canada,Beef and veal,Production,2018,1426.821
CAN,Canada,Beef and veal,Production,2019,1529.367
CAN,Canada,Beef and veal,Production,2020,1459.78
CAN,Canada,Beef and veal,Production,2021,1501.903
CAN,Canada,Beef and veal,Production,2022,1528.491
CAN,Canada,Beef and veal,Production,2023,1545.77
CAN,Canada,Beef and veal,Production,2024,1552.877
CAN,Canada,Beef and veal,Production,2025,1547.815
CAN,Canada,Beef and veal,Production,2026,1550.524
CAN,Canada,Beef and veal,Production,2027,1560.806
CAN,Canada,Beef and veal,Production,2028,1583.835
CAN,Canada,Beef and veal,Production,2029,1596.863
CAN,Canada,Beef and veal,Production,2030,1603.115
CAN,Canada,Beef and veal,Imports,1990,194.07
CAN,Canada,Beef and veal,Imports,1991,233.079
CAN,Canada,Beef and veal,Imports,1992,231.474
CAN,Canada,Beef and veal,Imports,1993,285.604
CAN,Canada,Beef and veal,Imports,1994,318.478
CAN,Canada,Beef and veal,Imports,1995,281.68
CAN,Canada,Beef and veal,Imports,1996,253.353
CAN,Canada,Beef and veal,Imports,1997,265.325
CAN,Canada,Beef and veal,Imports,1998,263.471
CAN,Canada,Beef and veal,Imports,1999,329.407
CAN,Canada,Beef and veal,Imports,2000,367.856
CAN,Canada,Beef and veal,Imports,2001,399.109
CAN,Canada,Beef and veal,Imports,2002,344.535
CAN,Canada,Beef and veal,Imports,2003,288.493
CAN,Canada,Beef and veal,Imports,2004,117.556
CAN,Canada,Beef and veal,Imports,2005,132.313
CAN,Canada,Beef and veal,Imports,2006,160.558
CAN,Canada,Beef and veal,Imports,2007,218.89
CAN,Canada,Beef and veal,Imports,2008,207.283
CAN,Canada,Beef and veal,Imports,2009,229.623
CAN,Canada,Beef and veal,Imports,2010,221.518
CAN,Canada,Beef and veal,Imports,2011,268.462
CAN,Canada,Beef and veal,Imports,2012,282.869
CAN,Canada,Beef and veal,Imports,2013,274.057
CAN,Canada,Beef and veal,Imports,2014,260.021
CAN,Canada,Beef and veal,Imports,2015,258.748
CAN,Canada,Beef and veal,Imports,2016,232.748
CAN,Canada,Beef and veal,Imports,2017,236.098
CAN,Canada,Beef and veal,Imports,2018,243.053
CAN,Canada,Beef and veal,Imports,2019,236.537
CAN,Canada,Beef and veal,Imports,2020,241.792
CAN,Canada,Beef and veal,Imports,2021,245.804
CAN,Canada,Beef and veal,Imports,2022,248.26
CAN,Canada,Beef and veal,Imports,2023,250.239
CAN,Canada,Beef and veal,Imports,2024,252.462
CAN,Canada,Beef and veal,Imports,2025,253.471
CAN,Canada,Beef and veal,Imports,2026,254.915
CAN,Canada,Beef and veal,Imports,2027,255.682
CAN,Canada,Beef and veal,Imports,2028,256.507
CAN,Canada,Beef and veal,Imports,2029,257.257
CAN,Canada,Beef and veal,Imports,2030,258.273
CAN,Canada,Beef and veal,Consumption,1990,983.68
CAN,Canada,Beef and veal,Consumption,1991,974.36
CAN,Canada,Beef and veal,Consumption,1992,960.85
CAN,Canada,Beef and veal,Consumption,1993,930.05
CAN,Canada,Beef and veal,Consumption,1994,957.6
CAN,Canada,Beef and veal,Consumption,1995,971.12
CAN,Canada,Beef and veal,Consumption,1996,969.93
CAN,Canada,Beef and veal,Consumption,1997,981.77
CAN,Canada,Beef and veal,Consumption,1998,1002.7
CAN,Canada,Beef and veal,Consumption,1999,1030.28
CAN,Canada,Beef and veal,Consumption,2000,1022.99
CAN,Canada,Beef and veal,Consumption,2001,992.56
CAN,Canada,Beef and veal,Consumption,2002,998.37
CAN,Canada,Beef and veal,Consumption,2003,1064.09
CAN,Canada,Beef and veal,Consumption,2004,1032.22
CAN,Canada,Beef and veal,Consumption,2005,1010.613
CAN,Canada,Beef and veal,Consumption,2006,1009.172
CAN,Canada,Beef and veal,Consumption,2007,1041.813
CAN,Canada,Beef and veal,Consumption,2008,1022.674
CAN,Canada,Beef and veal,Consumption,2009,985.09
CAN,Canada,Beef and veal,Consumption,2010,990.53
CAN,Canada,Beef and veal,Consumption,2011,977.16
CAN,Canada,Beef and veal,Consumption,2012,998.39
CAN,Canada,Beef and veal,Consumption,2013,999.02
CAN,Canada,Beef and veal,Consumption,2014,977.06
CAN,Canada,Beef and veal,Consumption,2015,907.51
CAN,Canada,Beef and veal,Consumption,2016,952
CAN,Canada,Beef and veal,Consumption,2017,958.9
CAN,Canada,Beef and veal,Consumption,2018,976.99
CAN,Canada,Beef and veal,Consumption,2019,975.578
CAN,Canada,Beef and veal,Consumption,2020,943.04
CAN,Canada,Beef and veal,Consumption,2021,970.009
CAN,Canada,Beef and veal,Consumption,2022,979.721
CAN,Canada,Beef and veal,Consumption,2023,976.511
CAN,Canada,Beef and veal,Consumption,2024,978.93
CAN,Canada,Beef and veal,Consumption,2025,963.113
CAN,Canada,Beef and veal,Consumption,2026,963.764
CAN,Canada,Beef and veal,Consumption,2027,961.717
CAN,Canada,Beef and veal,Consumption,2028,978.178
CAN,Canada,Beef and veal,Consumption,2029,983.715
CAN,Canada,Beef and veal,Consumption,2030,977.011
CAN,Canada,Beef and veal,Exports,1990,342.757
CAN,Canada,Beef and veal,Exports,1991,351.158
CAN,Canada,Beef and veal,Exports,1992,514.353
CAN,Canada,Beef and veal,Exports,1993,534.78
CAN,Canada,Beef and veal,Exports,1994,524.74
CAN,Canada,Beef and veal,Exports,1995,566.934
CAN,Canada,Beef and veal,Exports,1996,733.443
CAN,Canada,Beef and veal,Exports,1997,773.973
CAN,Canada,Beef and veal,Exports,1998,828.829
CAN,Canada,Beef and veal,Exports,1999,798.448
CAN,Canada,Beef and veal,Exports,2000,829.233
CAN,Canada,Beef and veal,Exports,2001,992.174
CAN,Canada,Beef and veal,Exports,2002,1116.128
CAN,Canada,Beef and veal,Exports,2003,560.138
CAN,Canada,Beef and veal,Exports,2004,599.06
CAN,Canada,Beef and veal,Exports,2005,754.24
CAN,Canada,Beef and veal,Exports,2006,785.703
CAN,Canada,Beef and veal,Exports,2007,858.297
CAN,Canada,Beef and veal,Exports,2008,946.825
CAN,Canada,Beef and veal,Exports,2009,797.929
CAN,Canada,Beef and veal,Exports,2010,852.097
CAN,Canada,Beef and veal,Exports,2011,646.009
CAN,Canada,Beef and veal,Exports,2012,592.701
CAN,Canada,Beef and veal,Exports,2013,632.407
CAN,Canada,Beef and veal,Exports,2014,709.275
CAN,Canada,Beef and veal,Exports,2015,623.747
CAN,Canada,Beef and veal,Exports,2016,676.13
CAN,Canada,Beef and veal,Exports,2017,665.138
CAN,Canada,Beef and veal,Exports,2018,683.533
CAN,Canada,Beef and veal,Exports,2019,788.833
CAN,Canada,Beef and veal,Exports,2020,754.103
CAN,Canada,Beef and veal,Exports,2021,779.465
CAN,Canada,Beef and veal,Exports,2022,795.254
CAN,Canada,Beef and veal,Exports,2023,816.615
CAN,Canada,Beef and veal,Exports,2024,832.408
CAN,Canada,Beef and veal,Exports,2025,835.052
CAN,Canada,Beef and veal,Exports,2026,842.232
CAN,Canada,Beef and veal,Exports,2027,853.862
CAN,Canada,Beef and veal,Exports,2028,862.856
CAN,Canada,Beef and veal,Exports,2029,872.485
CAN,Canada,Beef and veal,Exports,2030,881.433
CAN,Canada,Beef and veal,Producer price,1990,0
CAN,Canada,Beef and veal,Producer price,1991,0
CAN,Canada,Beef and veal,Producer price,1992,3210.662
CAN,Canada,Beef and veal,Producer price,1993,3572.587
CAN,Canada,Beef and veal,Producer price,1994,3325.302
CAN,Canada,Beef and veal,Producer price,1995,3237.852
CAN,Canada,Beef and veal,Producer price,1996,3045.683
CAN,Canada,Beef and veal,Producer price,1997,3235.28
CAN,Canada,Beef and veal,Producer price,1998,3242.996
CAN,Canada,Beef and veal,Producer price,1999,3403.933
CAN,Canada,Beef and veal,Producer price,2000,3779.454
CAN,Canada,Beef and veal,Producer price,2001,4074.873
CAN,Canada,Beef and veal,Producer price,2002,3792.314
CAN,Canada,Beef and veal,Producer price,2003,3112.923
CAN,Canada,Beef and veal,Producer price,2004,2829.262
CAN,Canada,Beef and veal,Producer price,2005,3338.897
CAN,Canada,Beef and veal,Producer price,2006,3428.184
CAN,Canada,Beef and veal,Producer price,2007,3378.213
CAN,Canada,Beef and veal,Producer price,2008,3324.567
CAN,Canada,Beef and veal,Producer price,2009,3346.246
CAN,Canada,Beef and veal,Producer price,2010,3339.999
CAN,Canada,Beef and veal,Producer price,2011,3973.093
CAN,Canada,Beef and veal,Producer price,2012,4215.968
CAN,Canada,Beef and veal,Producer price,2013,4429.449
CAN,Canada,Beef and veal,Producer price,2014,5854.093
CAN,Canada,Beef and veal,Producer price,2015,6724.581
CAN,Canada,Beef and veal,Producer price,2016,5415.527
CAN,Canada,Beef and veal,Producer price,2017,5425.447
CAN,Canada,Beef and veal,Producer price,2018,5122.526
CAN,Canada,Beef and veal,Producer price,2019,5154.034
CAN,Canada,Beef and veal,Producer price,2020,5279.837
CAN,Canada,Beef and veal,Producer price,2021,5512.906
CAN,Canada,Beef and veal,Producer price,2022,5629.052
CAN,Canada,Beef and veal,Producer price,2023,5596.083
CAN,Canada,Beef and veal,Producer price,2024,5580.173
CAN,Canada,Beef and veal,Producer price,2025,5579.525
CAN,Canada,Beef and veal,Producer price,2026,5505.468
CAN,Canada,Beef and veal,Producer price,2027,5428.878
CAN,Canada,Beef and veal,Producer price,2028,5353.983
CAN,Canada,Beef and veal,Producer price,2029,5276.76
CAN,Canada,Beef and veal,Producer price,2030,5199.519
CAN,Canada,Beef and veal,Human consumption per capita,1990,25.002
CAN,Canada,Beef and veal,Human consumption per capita,1991,24.456
CAN,Canada,Beef and veal,Human consumption per capita,1992,23.83
CAN,Canada,Beef and veal,Human consumption per capita,1993,22.805
CAN,Canada,Beef and veal,Human consumption per capita,1994,23.226
CAN,Canada,Beef and veal,Human consumption per capita,1995,23.309
CAN,Canada,Beef and veal,Human consumption per capita,1996,23.048
CAN,Canada,Beef and veal,Human consumption per capita,1997,23.106
CAN,Canada,Beef and veal,Human consumption per capita,1998,23.379
CAN,Canada,Beef and veal,Human consumption per capita,1999,23.8
CAN,Canada,Beef and veal,Human consumption per capita,2000,23.411
CAN,Canada,Beef and veal,Human consumption per capita,2001,22.5
CAN,Canada,Beef and veal,Human consumption per capita,2002,22.415
CAN,Canada,Beef and veal,Human consumption per capita,2003,23.655
CAN,Canada,Beef and veal,Human consumption per capita,2004,22.711
CAN,Canada,Beef and veal,Human consumption per capita,2005,21.994
CAN,Canada,Beef and veal,Human consumption per capita,2006,21.711
CAN,Canada,Beef and veal,Human consumption per capita,2007,22.146
CAN,Canada,Beef and veal,Human consumption per capita,2008,21.473
CAN,Canada,Beef and veal,Human consumption per capita,2009,20.434
CAN,Canada,Beef and veal,Human consumption per capita,2010,20.305
CAN,Canada,Beef and veal,Human consumption per capita,2011,19.804
CAN,Canada,Beef and veal,Human consumption per capita,2012,20.012
CAN,Canada,Beef and veal,Human consumption per capita,2013,19.813
CAN,Canada,Beef and veal,Human consumption per capita,2014,19.177
CAN,Canada,Beef and veal,Human consumption per capita,2015,17.633
CAN,Canada,Beef and veal,Human consumption per capita,2016,18.316
CAN,Canada,Beef and veal,Human consumption per capita,2017,18.274
CAN,Canada,Beef and veal,Human consumption per capita,2018,18.446
CAN,Canada,Beef and veal,Human consumption per capita,2019,18.254
CAN,Canada,Beef and veal,Human consumption per capita,2020,17.491
CAN,Canada,Beef and veal,Human consumption per capita,2021,17.837
CAN,Canada,Beef and veal,Human consumption per capita,2022,17.865
CAN,Canada,Beef and veal,Human consumption per capita,2023,17.661
CAN,Canada,Beef and veal,Human consumption per capita,2024,17.563
CAN,Canada,Beef and veal,Human consumption per capita,2025,17.143
CAN,Canada,Beef and veal,Human consumption per capita,2026,17.022
CAN,Canada,Beef and veal,Human consumption per capita,2027,16.856
CAN,Canada,Beef and veal,Human consumption per capita,2028,17.016
CAN,Canada,Beef and veal,Human consumption per capita,2029,16.986
CAN,Canada,Beef and veal,Human consumption per capita,2030,16.749
CAN,Canada,Beef and veal,Direct GHG emission,1990,16.574
CAN,Canada,Beef and veal,Direct GHG emission,1991,16.765
CAN,Canada,Beef and veal,Direct GHG emission,1992,17.818
CAN,Canada,Beef and veal,Direct GHG emission,1993,17.904
CAN,Canada,Beef and veal,Direct GHG emission,1994,18.158
CAN,Canada,Beef and veal,Direct GHG emission,1995,19.294
CAN,Canada,Beef and veal,Direct GHG emission,1996,20.474
CAN,Canada,Beef and veal,Direct GHG emission,1997,20.501
CAN,Canada,Beef and veal,Direct GHG emission,1998,20.493
CAN,Canada,Beef and veal,Direct GHG emission,1999,20.289
